Type.hybrid.1,MMI.hybrid,Replicate,SampleDate,StationID
Reference,0.94684698,1,10.6.09,111BGCAER
Reference,0.769830105,1,6.11.14,111BGCAER
Reference,1.096839127,1,8.8.13,111CBCAER
Reference,0.992031065,2,8.8.13,111CBCAER
Intermediate,1.209768816,1,10.11.10,111CE0569
Reference,0.970250656,1,5.11.10,111CE0569
Reference,1.027720044,1,6.15.10,111CE0569
Reference,1.026089294,1,7.20.10,111CE0569
Reference,0.953392267,1,9.1.10,111CE0569
NA,1.273122076,1,8.19.14,111CR0911
Stressed,1.174937391,1,8.18.14,111CR1012
Reference,0.994492688,1,10.10.12,111ERATRC
NA,1.161901604,1,6.10.14,111FC1098
Intermediate,1.022164949,1,7.23.13,111FCA207
Reference,0.924014417,1,7.5.11,111FS0001
Reference,1.032665223,1,7.11.11,111FS0007
Reference,0.885419794,1,5.2.12,111FS0008
Reference,1.052671024,1,6.7.12,111FS0008
Reference,0.974873884,1,7.19.12,111FS0008
Reference,0.932745982,1,7.6.11,111FS0008
Reference,1.119539727,1,7.26.11,111HSCAER
Reference,1.103618188,2,7.26.11,111HSCAER
Reference,0.904231875,1,7.13.11,111PAL105
Intermediate,0.981697043,1,9.29.08,111PS0008
Intermediate,1.052053369,1,9.9.08,111PS0008
Intermediate,1.214381485,2,9.9.08,111PS0008
Intermediate,0.880526119,1,8.19.08,111PS0013
Stressed,0.849558181,1,8.18.08,111PS0057
Reference,1.094661811,1,10.7.08,111PS0060
Intermediate,0.983630711,1,8.27.09,111PS0095
Intermediate,1.017004692,2,8.27.09,111PS0095
Reference,0.96302689,1,6.24.09,111PS0110
Reference,1.01752302,1,6.9.14,111PS0110
Intermediate,0.987740442,1,7.20.10,111PS0121
Reference,1.021447394,1,8.18.10,111PS0144
Intermediate,1.013222985,1,7.14.11,111PS0159
Reference,1.04369036,1,7.25.11,111PS0160
Intermediate,1.038825435,1,7.25.11,111PS0169
Intermediate,1.092941003,2,7.25.11,111PS0169
Intermediate,0.989912699,1,8.14.12,111PS0178
Reference,0.910496336,1,8.17.10,111PS0204
Intermediate,0.944479791,1,9.12.13,111PS0237
Reference,0.956916436,1,8.8.11,111RSCAER
NA,1.11584417,1,10.4.10,111SF1016
NA,0.964266301,1,7.14.10,111SF1016
NA,0.974209931,1,8.2.10,111SF1016
NA,1.165707657,1,8.25.10,111SF1016
NA,1.023876693,1,9.14.10,111SF1016
NA,1.099616099,1,10.4.10,111SF1569
NA,0.882562421,1,7.14.10,111SF1569
NA,0.987909518,1,8.2.10,111SF1569
NA,1.128813176,1,8.25.10,111SF1569
NA,1.153300713,2,8.25.10,111SF1569
NA,0.869047576,1,9.14.10,111SF1569
NA,1.210670375,1,10.5.10,111SF1944
NA,0.84859591,1,7.15.10,111SF1944
NA,1.038157245,1,8.24.10,111SF1944
NA,1.045448919,1,8.3.10,111SF1944
